id,place,state,lat,lon,project,issue_type,emotion,community_response,outcome,source_name,source_url
1,Box Elder County,UT,41.53,-112.3,Stratos AI Datacenter,Water;Land Use;Transparency,Anxiety;Anger;Distrust,"Residents filed objections, lawsuits, and organized statewide opposition",Project scaled back substantially but remains controversial,The Guardian,https://www.theguardian.com/us-news/2026/jun/06/stratos-datacenter-utah-suit
2,Memphis/Southaven,TN/MS,35.12,-90.03,xAI Colossus,Air Quality;Energy,Anger;Concern,"Community groups, NAACP, and environmental organizations challenged permits and operations",Ongoing litigation and regulatory scrutiny,Earthjustice,https://earthjustice.org/case/xai-illegal-gas-power-plant-data-center-colossus
3,Nashville,TN,36.1,-86.8,DC Blox Data Center,Land Use;Transparency,Concern;Distrust,Petitions and grassroots organizing opposing the project,Project remains contested,People Magazine,https://people.com/data-center-proposed-near-nashville-zoo-sparking-public-outcry-11993545
4,Coachella Valley,CA,33.7,-116.2,Regional Data Center Proposals,Water;Energy,Anger;Concern,Residents protested and local officials considered restrictions,Projects cancelled or paused; moratorium discussions,Business Insider,https://www.businessinsider.com/coachella-considers-halting-a-major-data-center-project-amid-protests-2026-5
5,Charlotte,NC,35.23,-80.84,Multiple Proposed Facilities,Energy;Water;Zoning,Concern;Agency,Officials paused approvals while studying impacts,150-day moratorium,Axios Charlotte,https://www.axios.com/local/charlotte/2026/06/09/charlotte-data-center-moratorium-150-days
6,Morgan County,GA,33.59,-83.47,Proposed Data Center,Transparency,Distrust;Concern,Residents pushed for additional review and public discussion,Moratorium discussions,Journal Courier,https://www.myjournalcourier.com/news/article/morgan-county-data-center-rumors-denied-meeting-22295764.php
7,Fort Worth,TX,32.75,-97.33,Rock Creek East Proposal,Land Use;Noise;Water,Concern,Public opposition campaign and comments,Project faced significant public scrutiny,Data Center Watch,https://www.datacenterwatch.org/report
8,Santa Clara,CA,37.35,-121.95,GI Partners Proposal,Neighborhood Impacts;Land Use,Concern,Community organizing and local review,Additional review required,Data Center Watch,https://www.datacenterwatch.org/report
9,Northern Virginia,VA,39.0,-77.45,Data Center Alley Expansion,Energy;Land Use;Transparency,Concern;Anger;Distrust,"Advocacy groups, lawsuits, and local organizing",Ongoing regional debate,Harvard Gazette,https://news.harvard.edu/gazette/story/2026/04/why-are-communities-pushing-back-against-data-centers/
10,Port Washington,WI,43.39,-87.87,Future Data Centers,Land Use;Local Control,Agency;Concern,Referendum and local political action,Restrictions approved,WPR/Wisconsin Sources,https://en.wikipedia.org/wiki/Opposition_to_AI_data_centers
